country,uie_rows,foreign_uie_count,known_uie_count,known_uie_share_pct,model_fallback_count,model_fallback_share_pct,gleif_ultimate,gleif_direct,address_cluster,name_match,manual_verified,unassigned,inward_fdi_usd_bn,inward_lei_density
MY,2235,2046,181,8.1,1792,80.2,168,11,195,27,2,40,280.9103665038465,7.283462071777918
SG,12351,10117,1600,13.0,5681,46.0,1411,189,4844,226,0,0,3241.9313416259665,3.120670653970696
TH,2343,2279,309,13.2,1980,84.5,302,7,44,10,0,0,409.8350657728431,5.560773565586426
ID,1459,1440,69,4.7,1361,93.3,65,4,15,14,0,0,399.8916800064426,3.600975144010999
PH,735,710,107,14.6,611,83.1,100,7,2,15,0,0,80.18056793936825,8.855013356065212
VN,356,344,129,36.2,223,62.6,126,3,0,4,0,0,122.11554677119679,2.8170041333438043
KH,37,36,10,27.0,27,73.0,10,0,0,0,0,0,64.08596320554744,0.5617454774696083
BN,42,42,7,16.7,32,76.2,7,0,0,3,0,0,7.744515079755865,5.42319300401233
LA,21,21,1,4.8,20,95.2,1,0,0,0,0,0,16.297820735179823,1.2885158292771157
MM,6,6,1,16.7,5,83.3,1,0,0,0,0,0,11.299139475277578,0.5310138894318412
TL,7,0,0,0.0,0,0.0,0,0,0,0,0,5,3.212267108139559,0.0
