lei,legal_name,review_priority_score,review_reason,review_status,entity_type,review_note,coverage_gap_priority_score,reason_flags,uie_country,uie_source,evidence_tier,uie_confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,direct_parent_name,direct_parent_country,ultimate_parent_name,ultimate_parent_country,ctos_registered_malaysia,ctos_name,ctos_match_score,ctos_match_method,override_reason,source_url,source_note,city,size_proxy,has_parent_link,has_ultimate_link,foreign_parent,is_non_consolidating,has_exception_filed,has_inferred_parent,in_address_cluster
254900RE3TYIWVD4VK13,KAF Investment Bank Berhad,0.6357,validate_model_only_investor_economy,todo,financial_institution,High-priority model-only UIE; needs official annual-report or shareholder source,0.45565263861260574,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,OFFSHORE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.853,OFFSHORE,0.853,0.7116,OFFSHORE;SG;DE,0.853;0.1414;0.003,,,,,0.0,,,,,,,Kuala Lumpur,3.778162177036952,0,0,0,1,1,0,1
254900AVOA9RLILJYZ04,Lion Industries Corporation Berhad,0.6357,validate_model_only_investor_economy,todo,operating_or_holding_company,High-priority model-only UIE; verify listed-group ultimate investor economy,0.45565263861260574,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,EUROPE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.7869,EUROPE,0.7869,0.6106,EUROPE;SG;US,0.7869;0.1763;0.0179,,,,,0.0,,,,,,,Kuala Lumpur,3.778162177036952,0,0,0,1,1,0,1
213800FHFD63EP1L6D67,ABRDN ISLAMIC MALAYSIA SDN. BHD.,0.6091,validate_model_only_investor_economy,todo,asset_manager,High-priority model-only UIE; likely foreign asset-manager group but needs official local parent/source,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.6421,US,0.6421,0.2984,US;DE;SG,0.6421;0.3436;0.013,,,,,1.0,ABRDN ISLAMIC MALAYSIA SDN. BHD.,100.0,exact,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,1
2549004XU9ENXP52Q969,ACB RESOURCES BERHAD,0.6091,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9827,SG,0.9827,0.9659,SG;GB;US,0.9827;0.0168;0.0002,,,,,1.0,ACB RESOURCES BERHAD,100.0,exact,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
254900MWK6IGXYBB7777,AET DP SHUTTLE TANKERS SDN. BHD.,0.6091,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,EUROPE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.7533,EUROPE,0.7533,0.5836,EUROPE;DE;US,0.7533;0.1697;0.0364,,,,,1.0,AET DP SHUTTLE TANKERS SDN. BHD.,100.0,exact,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,1
2549003WQXMOY5VUVH49,AET SHUTTLE TANKERS SDN. BHD.,0.6091,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.5135,SG,0.5135,0.0478,SG;GB;EUROPE,0.5135;0.4657;0.0106,,,,,1.0,AET SHUTTLE TANKERS SDN. BHD.,100.0,exact,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
2549003A7XTWD4HXWG83,AET TANKERS VLCC II SDN. BHD.,0.6091,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,EUROPE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.822,EUROPE,0.822,0.7195,EUROPE;US;DE,0.822;0.1025;0.0629,,,,,1.0,AET TANKERS VLCC II SDN. BHD.,100.0,exact,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,1
549300KWMDAFBV6VR711,AHAM Asset Management Berhad,0.6091,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9956,SG,0.9956,0.9938,SG;OFFSHORE;US,0.9956;0.0018;0.0008,,,,,1.0,AHAM ASSET MANAGEMENT BERHAD,100.0,exact,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
5493006ZOIKK9R9I4O70,PGEO EDIBLE OILS SDN. BHD.,0.6076,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.4275654336138335,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,AMERICAS_OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9982,AMERICAS_OTHER,0.9982,0.9968,AMERICAS_OTHER;SG;US,0.9982;0.0014;0.0004,,,,,0.0,,,,,,,KUALA LUMPUR,5.609101298029189,0,0,0,0,1,0,1
254900SNFPTSDGGVEK77,TELEKOM MALAYSIA BERHAD,0.603,verify_address_cluster_parent,todo,telecommunications_group,High-priority address-cluster UIE; verify current substantial shareholder / control source,0.48296083270649826,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,MY,phase2_address_cluster,D_address_cluster,0.6,ASIA_OTHER,0.9955,0.9916,ASIA_OTHER;SG;GB,0.9955;0.0039;0.0005,,,,,0.0,,,,,,,Kuala Lumpur,6.158638869402331,0,0,0,1,1,0,1
