country,uie_rows,foreign_uie_count,known_uie_count,known_uie_share_pct,model_fallback_count,model_fallback_share_pct,gleif_ultimate,gleif_direct,address_cluster,name_match,manual_verified,unassigned
MY,2235,2046,181,8.1,1792,80.2,168,11,195,27,2,40
SG,12351,10117,1600,13.0,5681,46.0,1411,189,4844,226,0,0
TH,2343,2279,309,13.2,1980,84.5,302,7,44,10,0,0
ID,1459,1440,69,4.7,1361,93.3,65,4,15,14,0,0
PH,735,710,107,14.6,611,83.1,100,7,2,15,0,0
VN,356,344,129,36.2,223,62.6,126,3,0,4,0,0
KH,37,36,10,27.0,27,73.0,10,0,0,0,0,0
BN,42,42,7,16.7,32,76.2,7,0,0,3,0,0
LA,21,21,1,4.8,20,95.2,1,0,0,0,0,0
MM,6,6,1,16.7,5,83.3,1,0,0,0,0,0
TL,7,0,0,0.0,0,0.0,0,0,0,0,0,5
