host_country,foreign_uie_lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence,inward_fdi_usd_bn,inward_lei_density
SG,9969,1159,8810,5314,0.63,3244.5048286576666,3.0725798007594354
TH,2281,272,2009,1982,0.4266,410.2091367757247,5.560578240477127
MY,1877,300,1577,1448,0.8205,280.9103665038465,6.681846680707308
ID,1402,259,1143,1124,0.6668,399.9238321109784,3.5056675482419024
PH,694,159,535,530,0.5751,80.18056793936825,8.655463759308814
VN,345,120,225,221,0.949,122.11554677119679,2.8251930988477105
BN,42,7,35,32,0.9796,7.744515079755865,5.42319300401233
KH,36,9,27,27,0.9067,64.15796549631789,0.5611150497293448
LA,21,1,20,20,1.0,16.297820735179823,1.2885158292771157
MM,6,1,5,5,1.0,11.299139475277578,0.5310138894318412
