direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,MY,SE,MY,5493009DCRRVVLU39C70,AAK MALAYSIA SDN. BHD.,MY,SE,AAK AB (PUBL),549300GK4LGIDDWJWL07,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DK,SE,,1
IN,MY,US,MY,549300VP0Z4M1G8BHC45,ABBOTT LABORATORIES (MALAYSIA) SDN. BHD.,MY,US,ABBOTT LABORATORIES,HQD377W2YR662HK5JX27,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,1
IN,MY,US,MY,549300UGIZ7AB56WW295,ABBOTT MEDICAL (MALAYSIA) SDN. BHD.,MY,US,ABBOTT LABORATORIES,HQD377W2YR662HK5JX27,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,1
IN,MY,GB,MY,213800NL25T5A9HFTD21,ABRDN MALAYSIA SDN. BHD.,MY,GB,ABERDEEN GROUP PLC,0TMBS544NMO7GLCE7H90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,GB,,1
IN,MY,US,MY,254900ZMIRZYTKZ85B06,ACI WORLDWIDE (MALAYSIA) SDN. BHD.,MY,US,"ACI WORLDWIDE, INC.",5493003BPVMZUJ6F5C02,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,1
IN,MY,NL,MY,254900C846E1OR3LO578,ADYEN MALAYSIA SDN. BHD.,MY,NL,Adyen N.V.,724500973ODKK3IFQ447,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,NL,NL,,1
IN,MY,US,MY,549300814E85BBGD5605,AGILENT TECHNOLOGIES LDA MALAYSIA SDN. BHD.,MY,US,"AGILENT TECHNOLOGIES, INC.",QUIX8Y7A2WP0XRMW7G29,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,1
IN,MY,US,MY,549300QXVQOPEVTM1149,AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN. BHD.,MY,US,"AGILENT TECHNOLOGIES, INC.",QUIX8Y7A2WP0XRMW7G29,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,1
IN,MY,HK,MY,549300E6FQ4TLWHME718,AIA BHD.,MY,HK,AIA Group Limited,ZP5ILWVSYE4LJGMMVD57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,HK,HK,,1
IN,MY,HK,MY,254900ZJAPW03APJLK09,AIA PENSION AND ASSET MANAGEMENT SDN. BHD.,MY,HK,AIA Group Limited,ZP5ILWVSYE4LJGMMVD57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,HK,HK,1
IN,MY,US,MY,549300SCF00QR3AK7011,AIG MALAYSIA INSURANCE BERHAD,MY,US,"AMERICAN INTERNATIONAL GROUP, INC.",ODVCVCQG2BP6VHV36M30,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,1
IN,MY,FR,MY,5299006QP7Z12V3U6H36,AIR LIQUIDE MALAYSIA SDN BHD,MY,FR,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,969500MMPQVHK671GT54,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,1
IN,MY,US,MY,549300KMJMOY5X1CCM85,AIR PRODUCTS MALAYSIA SDN. BHD.,MY,US,"AIR PRODUCTS AND CHEMICALS, INC.",7QEON6Y1RL5XR3R1W237,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,1
IN,MY,US,MY,549300UKUSKIRAIZD625,AIR PRODUCTS SHARED SERVICES SDN. BHD.,MY,US,"AIR PRODUCTS AND CHEMICALS, INC.",7QEON6Y1RL5XR3R1W237,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,1
IN,MY,US,MY,549300PP7ZLADK22DE37,AIR PRODUCTS SPECIALISED PROCESS EQUIPMENT SDN. BHD.,MY,US,"AIR PRODUCTS AND CHEMICALS, INC.",7QEON6Y1RL5XR3R1W237,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,US,US,1
