direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
OUT,MY,SG,MY,254900MIUP0FYBJ8KJ17,BOS WEALTH MANAGEMENT MALAYSIA BERHAD,MY,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,SG,,1.0
OUT,MY,SG,MY,213800TOT7DMM7SK8P75,DYSON MANUFACTURING SDN BHD,MY,SG,WEYBOURNE HOLDINGS PTE. LTD.,254900AZHJ583G4NOC24,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,SG,,1.0
OUT,MY,SG,MY,254900X5EGF9MOJTFN14,GES Manufacturing Services (M) Sdn. Bhd.,MY,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,SG,,1.0
OUT,MY,SG,MY,254900TDAUWDGCCEQ807,Great Eastern Labuan Company Limited,MY,SG,GREAT EASTERN HOLDINGS LIMITED,875500VP8E4GKG3B1P45,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,SG,,0.0
OUT,MY,SG,MY,2549008KIRUG60VE4H17,Great Eastern Life Assurance (Malaysia) Berhad,MY,SG,THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED,XILNWRPRTWRS0ELWD465,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,SG,,1.0
OUT,MY,SG,MY,2549006SLU3EWMCLT331,IFAST CAPITAL SDN. BHD.,MY,SG,IFAST CORPORATION LTD.,254900R8J6BPHWK23Z14,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,SG,SG,1.0
OUT,MY,SG,MY,2549001HLLBHNM58YJ83,IFAST MALAYSIA SDN. BHD.,MY,SG,IFAST CORPORATION LTD.,254900R8J6BPHWK23Z14,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,SG,,1.0
OUT,MY,SG,MY,254900J82XR9EXG7IP14,NIUM SDN. BHD.,MY,SG,NIUM PTE. LTD.,2549001M1QCD7NV2FL63,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,SG,,0.0
OUT,MY,SG,MY,549300XIBSIRYZHZ6U80,OCBC AL-AMIN BANK BERHAD,MY,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,SG,SG,0.0
OUT,MY,SG,MY,549300BUY5TZ8OC68Y89,OCBC Bank (Malaysia) Berhad,MY,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,SG,,0.0
