source_country,destination_country,outward_observed_lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence,outward_fdi_usd_bn,outward_lei_density
SG,MY,370,26,344,334,0.832,44.92009290561037,8.236848502906552
MY,SG,88,15,73,44,0.6672,98.03990452129135,0.8975936934015375
ID,SG,66,11,55,0,0.6727,86.54130994783374,0.7626415643556143
PH,SG,66,11,55,0,0.6667,7.946692034679444,8.305342614508696
TH,SG,45,22,23,2,0.8004,38.62995469930663,1.1648991139202063
SG,ID,20,20,0,0,0.9925,84.2993725350814,0.2372496899864462
MY,TH,11,4,7,0,0.7455,7.60067564261261,1.4472397609403744
SG,TH,11,8,3,0,0.8636,57.0235477422348,0.1929027644811512
TH,ID,8,8,0,0,1.0,22.431166046995802,0.3566466399133734
SG,VN,7,6,1,1,0.9763,,
VN,SG,6,3,3,0,0.795,2.7253905657515554,2.201519325486267
MY,ID,4,4,0,0,1.0,31.107996628682262,0.12858430093540357
SG,PH,4,4,0,0,0.9625,9.363295448661312,0.4272000196866465
MY,KH,3,3,0,0,1.0,4.164667311253712,0.7203456544760339
TH,VN,2,2,0,0,1.0,12.7477662058744,0.1568902321944345
MY,PH,1,1,0,0,1.0,1.71373039169589,0.5835223585026174
MY,VN,1,1,0,0,0.97,3.901348584194708,0.25632162274635956
TH,PH,1,1,0,0,1.0,2.2296002003461766,0.4485109033649782
