direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,BN,GB,BN,5493001SV74RB9BLSG51,AMEC FOSTER WHEELER (B) SDN BHD,BN,GB,JOHN WOOD GROUP LIMITED,549300PLYY6I10B6S323,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,BN,GB,BN,254900O9AGY62PYKHO98,Brunei Shell Petroleum Company Sendirian Berhad,BN,GB,SHELL PLC,21380068P1DRHMJ8KU70,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,BN,GB,BN,213800LE6S5GZ6L1QA69,HSBC FINANCE (BRUNEI) BERHAD,BN,GB,HSBC HOLDINGS PLC,MLU0ZO3ML4LN2LL2TL39,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,GB,,
IN,BN,GB,BN,213800NT4LQ6PVGNT163,HSBC SECURITIES (B) BERHAD,BN,GB,HSBC HOLDINGS PLC,MLU0ZO3ML4LN2LL2TL39,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,HK,GB,,
IN,BN,US,BN,549300PN7E415ITD8Z94,Q - CARRIER (B) SDN. BHD.,BN,US,CARRIER GLOBAL CORPORATION,549300JE3W6CWY2NAN77,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,
IN,BN,GB,BN,549300FSTEQXEMF8WC19,STANDARD CHARTERED SECURITIES (B) SDN BHD,BN,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,GB,,
IN,BN,DE,BN,549300Y92PMMF18DZ040,THYSSENKRUPP INDUSTRIAL SOLUTIONS BRN SDN BHD,BN,DE,thyssenkrupp AG,549300UDG16DOYUPR330,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,BN,GB,BN,549300G5WELGKIENGO70,BRUNEI SHELL FUNDS SENDIRIAN BERHAD AS TRUSTEE OF BRUNEI SHELL RETIREMENT BENEFIT FUND,BN,GB,SHELL PLC,21380068P1DRHMJ8KU70,phase1_name_match,C_name_match_high,C_name_inferred,1.0,0,1,,,,
IN,BN,GB,BN,549300W8XN8HALUP3T43,Brunei Shell Funds Sendirian Berhad as Trustee of Brunei Shell Provident Fund,BN,GB,SHELL PLC,21380068P1DRHMJ8KU70,phase1_name_match,C_name_match_high,C_name_inferred,1.0,0,1,,,,
IN,BN,GB,BN,549300PYLWGHCJK38139,STANDARD CHARTERED FINANCE (BRUNEI) BERHAD,BN,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,phase1_name_match,C_name_match_high,C_name_inferred,1.0,0,1,,,,
IN,BN,EUROPE,BN,213800RJ7FP627MDGR54,BGC FOUR (NBD) SENDIRIAN BERHAD,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,213800RO621XEA8Z9Z16,BGC SPV (NBD) SENDIRIAN BERHAD,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,213800GYVHGAF2C6N460,BGC THREE (NBD) SENDIRIAN BERHAD,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300TIOP6QYGNUVL12,BRUNEI DARUSSALAM CENTRAL BANK,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,5493003NKNFO04NF4E03,BRUNEI GOVERNMENT - FISCAL STABILISATION RESERVE FUND,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300M8EHXBEBUW7157,BRUNEI GOVERNMENT - STRATEGIC DEVELOPMENT CAPITAL FUND,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,254900M3VM80WB4R1V15,Bank Islam Brunei Darussalam Berhad,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,213800FBIMJU57L9I262,CHAMPION MOTOR (B) SDN. BHD.,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,89450011VOQN05N7GV30,HIS MAJESTY THE SULTAN'S FLIGHT (HMSF),BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,213800AOSBEQ5IAY8F16,"INFO-TREND INTERNATIONAL CO., LTD.",BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300C3GNZ9N5OIQ134,INSURANS ISLAM TAIB FAMILY TAKAFUL SENDIRIAN BERHAD,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300JHQW6XVORXI318,"MORE HARVEST ENTERPRISE CO., LTD.",BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,391200S28LX6UGILYU62,NATIONAL INSURANCE COMPANY BERHAD,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300B0HF260P2JRS30,PERBADANAN TABUNG AMANAH ISLAM BRUNEI,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,5493000YBOT83RQXH579,SHINEX INTERNATIONAL LIMITED,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300RK0GYJC8XRCD27,"SKY HIGH INTERNATIONAL CO.,LTD .",BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,BN,EUROPE,BN,549300UX2Z5WLYRV7O02,BAIDURI BANK SENDIRIAN BERHAD,BN,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.9998,0,1,,,,
