direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,ID,CH,ID,2138004P5THCO7FJWH17,"""PAPANDAYAN COCOA INDUSTRIES"" PT",ID,CH,BARRY CALLEBAUT AG,213800Y5RWKLDPUTT265,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,CH,CH,,0.0
IN,ID,CN,ID,254900N240CIN0O2PC47,"BANK CHINA CONSTRUCTION BANK INDONESIA, PT TBK",ID,CN,中国建设银行股份有限公司,5493001KQW6DM7KEDR62,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,CN,CN,,0.0
IN,ID,MY,ID,549300NZ97UNGBXAPM35,BANK CIMB NIAGA,ID,MY,CIMB GROUP HOLDINGS BERHAD,549300FYDN5UD7USZW18,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0.0
IN,ID,GB,ID,2138008Z54IOGPGG1838,"BENTOEL INTERNASIONAL INVESTAMA TBK, PT",ID,GB,BRITISH AMERICAN TOBACCO P.L.C.,213800FKA5MF17RJKT63,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,GB,,0.0
IN,ID,FR,ID,213800LXP1J51ILX9Y54,"BNP PARIBAS ASSET MANAGEMENT, PT",ID,FR,BNP PARIBAS,R0MUWSFPU8MPRO8K5P83,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,0.0
IN,ID,HK,ID,213800O9OO4VS2MUDX27,"CLSA SEKURITAS INDONESIA, PT",ID,HK,CITIC Limited,2549006I3Q3M98KHOT11,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,HK,HK,,0.0
IN,ID,US,ID,2549000ZUV6K3SMJO390,"Crown Beverage Cans Indonesia, PT",ID,US,"CROWN HOLDINGS, INC.",NYLWZIOY8PUNIT4JOE22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,US,,0.0
IN,ID,DE,ID,549300XTEV3ZV7F18R83,DANA PENSIUN LEMBAGA KEUANGAN ALLIANZ INDONESIA,ID,DE,Allianz SE,529900K9B0N5BT694847,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,ID,DE,DE,0.0
IN,ID,DE,ID,529900FKQMWE1Q1CVE32,DRAEGERINDO JAYA,ID,DE,Drägerwerk AG & Co. KGaA,5493005UFVHY0PPNKD75,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,0.0
IN,ID,DE,ID,254900JV97NJXWVHAD92,"FUCHS Indonesia, PT",ID,DE,FUCHS SE,529900SNF9E1P5ZO4P98,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,0.0
