host_country,uie_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
ID,EUROPE,E_model_only,694,0,694,694,0.6196
ID,OTHER,E_model_only,430,0,430,430,0.5407
ID,US,A_hard_or_verified,55,55,0,0,1.0
ID,DE,A_hard_or_verified,40,40,0,0,1.0
ID,GB,A_hard_or_verified,28,28,0,0,1.0
ID,FR,A_hard_or_verified,19,19,0,0,1.0
ID,SG,A_hard_or_verified,19,19,0,0,1.0
ID,NL,A_hard_or_verified,13,13,0,0,1.0
ID,JP,A_hard_or_verified,12,12,0,0,1.0
ID,CH,A_hard_or_verified,11,11,0,0,1.0
ID,CA,D_address_inferred,9,0,9,0,0.6
ID,TH,A_hard_or_verified,8,8,0,0,1.0
ID,FI,A_hard_or_verified,4,4,0,0,1.0
ID,IN,A_hard_or_verified,4,4,0,0,1.0
ID,MY,A_hard_or_verified,4,4,0,0,1.0
ID,DE,C_name_inferred,3,0,3,0,1.0
ID,KR,A_hard_or_verified,3,3,0,0,1.0
ID,US,C_name_inferred,3,0,3,0,1.0
ID,AU,A_hard_or_verified,2,2,0,0,1.0
ID,BE,A_hard_or_verified,2,2,0,0,1.0
ID,BM,A_hard_or_verified,2,2,0,0,1.0
ID,CA,A_hard_or_verified,2,2,0,0,1.0
ID,DK,A_hard_or_verified,2,2,0,0,1.0
ID,GB,B_parent_or_exception,2,2,0,0,0.85
ID,GB,C_name_inferred,2,0,2,0,1.0
ID,GB,D_address_inferred,2,0,2,0,0.6
ID,IT,A_hard_or_verified,2,2,0,0,1.0
ID,JE,A_hard_or_verified,2,2,0,0,1.0
ID,KR,B_parent_or_exception,2,2,0,0,0.85
ID,KY,A_hard_or_verified,2,2,0,0,1.0
ID,NO,A_hard_or_verified,2,2,0,0,1.0
ID,SE,A_hard_or_verified,2,2,0,0,1.0
ID,TW,A_hard_or_verified,2,2,0,0,1.0
ID,AT,A_hard_or_verified,1,1,0,0,1.0
ID,CH,B_parent_or_exception,1,1,0,0,0.85
ID,CN,A_hard_or_verified,1,1,0,0,1.0
ID,DK,B_parent_or_exception,1,1,0,0,0.85
ID,HK,A_hard_or_verified,1,1,0,0,1.0
ID,IE,A_hard_or_verified,1,1,0,0,1.0
ID,LU,A_hard_or_verified,1,1,0,0,1.0
ID,LU,B_parent_or_exception,1,1,0,0,0.9
ID,MU,A_hard_or_verified,1,1,0,0,1.0
ID,NL,B_parent_or_exception,1,1,0,0,0.85
ID,SG,B_parent_or_exception,1,1,0,0,0.85
ID,TR,A_hard_or_verified,1,1,0,0,1.0
ID,VG,A_hard_or_verified,1,1,0,0,1.0
