direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,KH,US,KH,25490014ZYYDSY6IPW93,CROWN Beverage Cans (Cambodia) Limited,KH,US,"CROWN HOLDINGS, INC.",NYLWZIOY8PUNIT4JOE22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,US,,
IN,KH,US,KH,254900W039RO9TMLMX94,Crown Khmer Beverage Cans Limited,KH,US,"CROWN HOLDINGS, INC.",NYLWZIOY8PUNIT4JOE22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,US,,
IN,KH,MY,KH,254900STSDWSEK4YXQ71,ការបញ្ជូនកម្ពុជា មានកំណត់,KH,MY,HNG CAPITAL SDN. BHD,213800U4E6CA2NKI2931,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,MY,,
IN,KH,MY,KH,549300R2EX6BTYLO9246,ធនាគារ (ខេមបូឌា) ភីអិលស៊ី,KH,MY,HONG LEONG FINANCIAL GROUP BERHAD,549300EGI40XD5GGWS62,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,
IN,KH,FR,KH,254900QR8KCOLLDHYO43,ធនាគារ BRED (កម្ពុជា) ភីអិលស៊ី,KH,FR,BPCE,9695005MSX1OYEMGDF46,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,
IN,KH,CA,KH,5493003OZ08PS8IJMR09,ធនាគារ ចំកាត់.,KH,CA,NATIONAL BANK OF CANADA,BSGEFEIOM18Y80CKCV46,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,CA,CA,,
IN,KH,MY,KH,25490084P914AA0V8D84,ធនាគារ មេយប៊ែង (ខេមបូឌា) ភីអិលស៊ី,KH,MY,MALAYAN BANKING BERHAD,5493004OT3TOY404V310,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,
IN,KH,GB,KH,21380072WOWXRC8SLO49,ព្រូដិនសល (ខេមបូឌា) ភីអិលស៊ី,KH,GB,Prudential Public Limited Company,5493001Z3ZE83NGK8Y12,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,GB,,
IN,KH,US,KH,254900YA4OYIA2K9HH70,ភេសជ្ជៈ CROWN ខេត្តព្រះសីហនុ,KH,US,"CROWN HOLDINGS, INC.",NYLWZIOY8PUNIT4JOE22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,US,,
IN,KH,EUROPE,KH,549300GEDZ0LT59B3H04,"F.U.G.I GOLD CO., LTD.",KH,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,KH,OTHER,KH,254900O1KZJEYTBO2413,ការផ្លាស់ប្តូរនិស្សន្ទវត្ថុនៃសំណាងមាស,KH,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,KH,OTHER,KH,254900HJ5YSIDLWFZM09,ក្រសួងបរិស្ថានកម្ពុជា។,KH,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,KH,AMERICAS_OTHER,KH,549300LXEIJH0EN1VL04,ក្រុមហ៊ុន,KH,AMERICAS_OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,KH,OTHER,KH,9845006L21E7C09E3828,គ្រឹះស្ថានមីក្រូហិរញ្ញវត្ថុ ចម្រើន ម.ក,KH,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,KH,OTHER,KH,984500BBF3BDC6BE1D38,គ្រឹះស្ថានមីក្រូហិរញ្ញវត្ថុ ហ្វឺស ហ្វាយនែន ភីអិលសុី,KH,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
IN,KH,AMERICAS_OTHER,KH,5493001V58884LQBXZ84,ធនាគារ ម.ក,KH,AMERICAS_OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,1.0,0,1,,,,
