host_country,lei,legal_name,entity_country,direct_parent_country,direct_parent_name,direct_parent_lei,ultimate_parent_country,ultimate_parent_name,ultimate_parent_lei,chain_parent_country,chain_parent_name,chain_parent_lei,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,ctos_registered_malaysia,direct_parent_is_uie,pass_through_to_non_direct_uie,uie_is_asean,uie_is_non_asean,uie_is_broad_bucket
MY,529900OBZE8U2F1HE045,GEA Westfalia Separator (Malaysia) Sdn. Bhd.,MY,SG,GEA WESTFALIA SEPARATOR (S.E.A.) PTE. LTD.,529900TH9C8A38ZD8V47,DE,GEA Group Aktiengesellschaft,549300PHUU0ZZWO8EO07,,,,DE,GEA Group Aktiengesellschaft,549300PHUU0ZZWO8EO07,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,False,True,False,True,False
MY,300300LO9HPV0V7JXG36,ZF CHASSIS SYSTEMS SDN BHD,MY,SG,ZF Asia Pacific Pte Ltd,300300JIJON3K73KXR57,DE,ZF Friedrichshafen AG,529900CAYOWB8YIG7X25,DE,ZF Friedrichshafen AG,529900CAYOWB8YIG7X25,DE,ZF Friedrichshafen AG,529900CAYOWB8YIG7X25,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,False,True,False,True,False
MY,549300ZFFY4BYGZ1AX14,ASSEMBLY PAYMENTS MALAYSIA SDN. BHD.,MY,SG,ASSEMBLY PAYMENTS PTE. LTD.,5493008W0KUEW1VX6696,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,False,True,False,True,False
MY,549300HQURPG83YBYR49,TASCONNECT (MALAYSIA) SDN. BHD.,MY,SG,POWER2SME PTE. LTD.,549300S1GGDMUQSLNO86,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,GB,STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,False,True,False,True,False
MY,549300X6HJ0KYL1DYJ34,GLOBAL WALL (MALAYSIA) SDN. BHD.,MY,SG,PERMASTEELISA PACIFIC HOLDINGS LTD.,549300IKDSQVJS5WKT41,,,,IT,PERMASTEELISA S.P.A.,5493006293RJBDQWJL92,IT,PERMASTEELISA S.P.A.,5493006293RJBDQWJL92,gleif_upstream_direct_parent,B_known_upstream_direct_parent,B_parent_or_exception,0.9,1,0,1,False,True,False,True,False
MY,254900852ZW3KFBCI850,MITSUI & CO. (MALAYSIA) SDN. BHD.,MY,SG,MITSUI & CO. (ASIA PACIFIC) PTE. LTD.,254900EOAZISAC1ZBU61,JP,三井物産株式会社,2NRSB4GOU9DD6CNW5R48,JP,三井物産株式会社,2NRSB4GOU9DD6CNW5R48,JP,三井物産株式会社,2NRSB4GOU9DD6CNW5R48,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,False,True,False,True,False
MY,254900YRWRXRMCDJLF21,Tokio Marine Life Insurance Malaysia Bhd.,MY,SG,TOKIO MARINE INSURANCE SINGAPORE LTD.,2549006XE45OSG7DDW40,JP,東京海上ホールディングス株式会社,5299009QN2NZ191KLS29,JP,東京海上ホールディングス株式会社,5299009QN2NZ191KLS29,JP,東京海上ホールディングス株式会社,5299009QN2NZ191KLS29,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,False,True,False,True,False
MY,213800RMF6ACW6UG3U82,GOBEAR (MALAYSIA) SDN. BHD.,MY,SG,WOODPECKER ASIA TECH PTE. LTD,213800YL1WKCFM1LOQ12,NL,Woodpecker Holding B.V.,72450085ROINJRUDAT34,,,,NL,Woodpecker Holding B.V.,72450085ROINJRUDAT34,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,False,True,False,True,False
MY,254900MIUP0FYBJ8KJ17,BOS WEALTH MANAGEMENT MALAYSIA BERHAD,MY,SG,BANK OF SINGAPORE LIMITED,5493002HXPWNWONL4B16,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,,,,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,True,False,True,False,False
MY,254900TDAUWDGCCEQ807,Great Eastern Labuan Company Limited,MY,SG,GREAT EASTERN HOLDINGS LIMITED,875500VP8E4GKG3B1P45,SG,GREAT EASTERN HOLDINGS LIMITED,875500VP8E4GKG3B1P45,,,,SG,GREAT EASTERN HOLDINGS LIMITED,875500VP8E4GKG3B1P45,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,2549008KIRUG60VE4H17,Great Eastern Life Assurance (Malaysia) Berhad,MY,SG,THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED,XILNWRPRTWRS0ELWD465,SG,THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED,XILNWRPRTWRS0ELWD465,,,,SG,THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED,XILNWRPRTWRS0ELWD465,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,True,False,True,False,False
MY,2549001HLLBHNM58YJ83,IFAST MALAYSIA SDN. BHD.,MY,SG,IFAST CORPORATION LTD.,254900R8J6BPHWK23Z14,SG,IFAST CORPORATION LTD.,254900R8J6BPHWK23Z14,,,,SG,IFAST CORPORATION LTD.,254900R8J6BPHWK23Z14,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,True,False,True,False,False
MY,254900J82XR9EXG7IP14,NIUM SDN. BHD.,MY,SG,NIUM PTE. LTD.,2549001M1QCD7NV2FL63,SG,NIUM PTE. LTD.,2549001M1QCD7NV2FL63,,,,SG,NIUM PTE. LTD.,2549001M1QCD7NV2FL63,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,549300BUY5TZ8OC68Y89,OCBC Bank (Malaysia) Berhad,MY,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,,,,SG,OVERSEA-CHINESE BANKING CORPORATION LIMITED,5493007O3QFXCPOGWK22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,254900IE5ZVD11LDDW80,TAI SIN ELECTRIC CABLES (MALAYSIA) SDN. BHD.,MY,SG,Tai Sin Electric Limited,2549004MSWDRXNFKH924,SG,Tai Sin Electric Limited,2549004MSWDRXNFKH924,,,,SG,Tai Sin Electric Limited,2549004MSWDRXNFKH924,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,254900L2GNWHCIM65P05,Technocom Systems Sdn Bhd,MY,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,,,,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,549300UELOOESZQLWV30,UNITED OVERSEAS BANK (MALAYSIA) BHD.,MY,SG,UNITED OVERSEAS BANK LIMITED,IO66REGK3RCBAMA8HR66,SG,UNITED OVERSEAS BANK LIMITED,IO66REGK3RCBAMA8HR66,,,,SG,UNITED OVERSEAS BANK LIMITED,IO66REGK3RCBAMA8HR66,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,5493003TYZT3IH12OG24,UOB ASSET MANAGEMENT (MALAYSIA) BERHAD,MY,SG,UOB ASSET MANAGEMENT LTD,549300GEEUAN3BDKO421,SG,UNITED OVERSEAS BANK LIMITED,IO66REGK3RCBAMA8HR66,,,,SG,UNITED OVERSEAS BANK LIMITED,IO66REGK3RCBAMA8HR66,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,254900KW4BIDLHLDNK31,Venture Electronics Services (Malaysia) Sdn. Bhd.,MY,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,,,,SG,VENTURE CORPORATION LIMITED,254900B1NLZC3J1MAE72,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,True,False,True,False,False
MY,254900EJGRI66ECVRG93,ACR RETAKAFUL BERHAD,MY,SG,ASIA CAPITAL REINSURANCE GROUP PTE. LTD.,549300MI8YS4IVFTKP23,,,,,,,SG,ASIA CAPITAL REINSURANCE GROUP PTE. LTD.,549300MI8YS4IVFTKP23,gleif_direct_parent,B_known_direct_parent,B_parent_or_exception,0.85,1,0,0,True,False,True,False,False
MY,QINWV8RCPXRMH5IWUL13,CITIBANK BERHAD,MY,SG,CITIGROUP HOLDING (SINGAPORE) PRIVATE LIMITED,5493008ZCTXK2URRYU29,US,CITIGROUP INC.,6SHGI4ZSSLCXXQSBB395,,,,US,CITIGROUP INC.,6SHGI4ZSSLCXXQSBB395,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,False,True,False,True,False
MY,FWFDU9OTL5768ZW4K495,CITIBANK MALAYSIA (L) LIMITED,MY,SG,CITIGROUP HOLDING (SINGAPORE) PRIVATE LIMITED,5493008ZCTXK2URRYU29,US,CITIGROUP INC.,6SHGI4ZSSLCXXQSBB395,,,,US,CITIGROUP INC.,6SHGI4ZSSLCXXQSBB395,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,0,False,True,False,True,False
MY,2549003L42BICLJOGD04,CROWN BEVERAGE CANS MALAYSIA SDN. BHD.,MY,SG,CROWN ASIA PACIFIC HOLDINGS PTE. LTD.,2549001D3NPKX8W8KG76,US,"CROWN HOLDINGS, INC.",NYLWZIOY8PUNIT4JOE22,,,,US,"CROWN HOLDINGS, INC.",NYLWZIOY8PUNIT4JOE22,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,1,False,True,False,True,False
