host_country,uie_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
MY,US,E_model_only,445,0,445,445,0.8041
MY,SG,E_model_only,334,0,334,334,0.8207
MY,DE,E_model_only,276,0,276,276,0.7709
MY,GB,E_model_only,186,0,186,186,0.7614
MY,OFFSHORE,E_model_only,94,0,94,94,0.8506
MY,US,A_hard_or_verified,74,74,0,0,1.0
MY,EUROPE,E_model_only,64,0,64,64,0.7137
MY,GB,A_hard_or_verified,59,59,0,0,1.0
MY,DE,A_hard_or_verified,41,41,0,0,1.0
MY,ASIA_OTHER,E_model_only,29,0,29,29,0.8085
MY,SG,A_hard_or_verified,25,25,0,0,1.0
MY,US,D_address_inferred,25,0,25,0,0.6076
MY,MIDEAST_AFRICA,E_model_only,17,0,17,17,0.8495
MY,GB,D_address_inferred,15,0,15,0,0.628
MY,CH,A_hard_or_verified,14,14,0,0,1.0
MY,FR,A_hard_or_verified,13,13,0,0,1.0
MY,JP,A_hard_or_verified,12,12,0,0,1.0
MY,CH,D_address_inferred,7,0,7,0,0.7214
MY,FR,D_address_inferred,7,0,7,0,0.6057
MY,HK,D_address_inferred,7,0,7,0,0.6529
MY,KR,D_address_inferred,7,0,7,0,0.65
MY,NL,A_hard_or_verified,7,7,0,0,1.0
MY,SG,D_address_inferred,7,0,7,0,0.7
MY,CA,A_hard_or_verified,5,5,0,0,1.0
MY,GB,C_name_inferred,5,0,5,0,1.0
MY,JE,D_address_inferred,5,0,5,0,0.55
MY,DE,C_name_inferred,4,0,4,0,1.0
MY,IN,A_hard_or_verified,4,4,0,0,1.0
MY,IN,D_address_inferred,4,0,4,0,0.55
MY,IT,A_hard_or_verified,4,4,0,0,1.0
MY,NL,D_address_inferred,4,0,4,0,0.63
MY,TR,D_address_inferred,4,0,4,0,0.58
MY,TW,D_address_inferred,4,0,4,0,0.58
MY,BZ,A_hard_or_verified,3,3,0,0,1.0
MY,FI,D_address_inferred,3,0,3,0,0.7
MY,FR,C_name_inferred,3,0,3,0,1.0
MY,GH,D_address_inferred,3,0,3,0,0.7
MY,HK,A_hard_or_verified,3,3,0,0,1.0
MY,JE,A_hard_or_verified,3,3,0,0,1.0
MY,KY,A_hard_or_verified,3,3,0,0,1.0
MY,OTHER,E_model_only,3,0,3,3,0.6377
MY,SE,A_hard_or_verified,3,3,0,0,1.0
MY,SG,C_name_inferred,3,0,3,0,1.0
MY,AU,A_hard_or_verified,2,2,0,0,1.0
MY,CN,A_hard_or_verified,2,2,0,0,1.0
MY,DE,D_address_inferred,2,0,2,0,0.67
MY,DK,A_hard_or_verified,2,2,0,0,1.0
MY,IT,D_address_inferred,2,0,2,0,0.69
MY,JP,D_address_inferred,2,0,2,0,0.7
MY,KR,A_hard_or_verified,2,2,0,0,1.0
MY,MU,A_hard_or_verified,2,2,0,0,1.0
MY,NZ,A_hard_or_verified,2,2,0,0,1.0
MY,US,C_name_inferred,2,0,2,0,1.0
MY,VG,A_hard_or_verified,2,2,0,0,1.0
MY,VG,D_address_inferred,2,0,2,0,0.7
MY,AT,A_hard_or_verified,1,1,0,0,1.0
MY,BD,A_hard_or_verified,1,1,0,0,1.0
MY,BM,A_hard_or_verified,1,1,0,0,1.0
MY,DJ,A_hard_or_verified,1,1,0,0,1.0
MY,FI,A_hard_or_verified,1,1,0,0,1.0
MY,GH,A_hard_or_verified,1,1,0,0,1.0
MY,IT,B_parent_or_exception,1,1,0,0,0.9
MY,JE,C_name_inferred,1,0,1,0,1.0
MY,KW,A_hard_or_verified,1,1,0,0,1.0
MY,LU,A_hard_or_verified,1,1,0,0,1.0
MY,PA,A_hard_or_verified,1,1,0,0,1.0
MY,PA,D_address_inferred,1,0,1,0,0.73
MY,SG,B_parent_or_exception,1,1,0,0,0.85
MY,TR,A_hard_or_verified,1,1,0,0,1.0
MY,TW,A_hard_or_verified,1,1,0,0,1.0
