direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
OUT,SG,MY,SG,25490003U4R9K1O7A780,AET TANKERS VLCC V PTE. LTD.,SG,MY,MISC BERHAD,9845002055U77FF6B972,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,BM,MY,,0
OUT,SG,MY,SG,254900BL91JNT7H16S81,Amplus Energy Solutions Pte. Ltd.,SG,MY,PETROLIAM NASIONAL BERHAD (PETRONAS),5493003RZQYJM7QGNE15,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,MY,,0
OUT,SG,MY,SG,254900SSM1KAN0HCFQ75,Arbitra Energy Asia Pte. Ltd.,SG,MY,PETROLIAM NASIONAL BERHAD (PETRONAS),5493003RZQYJM7QGNE15,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
OUT,SG,MY,SG,213800FG8NHW6WL98G66,CGS INTERNATIONAL SECURITIES PTE. LTD.,SG,MY,CIMB GROUP HOLDINGS BERHAD,549300FYDN5UD7USZW18,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
OUT,SG,MY,SG,549300MVSNEO4ZJUV031,ETIQA INSURANCE PTE. LTD.,SG,MY,MAYBANK AGEAS HOLDINGS BERHAD,2549007GD0DSG7B2JK90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
OUT,SG,MY,SG,254900PTWOZH9DZ6TU77,GENTARI RENEWABLES INDIA PTE. LTD.,SG,MY,PETROLIAM NASIONAL BERHAD (PETRONAS),5493003RZQYJM7QGNE15,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,MY,,0
OUT,SG,MY,SG,254900T4APAQTA2ZHC23,KSC (S) PTE. LTD.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
OUT,SG,MY,SG,254900XJSF3FJP298H11,MAC WORLD INC PTE. LTD.,SG,MY,MAC WORLD HOLDINGS LIMITED,254900OK0NQ7DQUQ6P38,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
OUT,SG,MY,SG,5493004JRASNMIKBPJ98,MAYBANK ASSET MANAGEMENT SINGAPORE PTE. LTD.,SG,MY,MALAYAN BANKING BERHAD,5493004OT3TOY404V310,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
OUT,SG,MY,SG,549300TVTVALJC1NA695,MAYBANK SINGAPORE LIMITED,SG,MY,MALAYAN BANKING BERHAD,5493004OT3TOY404V310,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,0
