direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,PH,US,PH,254900C2BIGFW3G5WX22,"ACI WORLDWIDE PHILIPPINE ISLANDS, INC.",PH,US,"ACI WORLDWIDE, INC.",5493003BPVMZUJ6F5C02,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,
IN,PH,US,PH,549300TLRUTK27L3TH44,"ALERE PHILIPPINES, INC.",PH,US,ABBOTT LABORATORIES,HQD377W2YR662HK5JX27,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,
IN,PH,DE,PH,529900SU3LHDITZGTC93,ALTAIR TECHNOLOGIES PHILIPPINES INC.,PH,DE,Siemens Aktiengesellschaft,W38RGI023J3WT1HWRP32,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,US,PH,549300EZPX8NWSISAK56,"ARCHER-DANIELS-MIDLAND PHILIPPINES, INC.",PH,US,ARCHER-DANIELS-MIDLAND COMPANY,549300LO13MQ9HYSTR83,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,JP,PH,529900WJORQIU7CF7M92,Avaloq Philippines Inc.,PH,JP,日本電気株式会社,5493000QYMPFRTEY4K28,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,JP,JP,,
IN,PH,DE,PH,254900BWJ34HNGS6OD95,BAYER CROPSCIENCE INC.,PH,DE,Bayer Aktiengesellschaft,549300J4U55H3WP1XT59,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,DE,,
IN,PH,DE,PH,9845007886664FEVF406,BD AGRICULTURE (PHILIPPINES) INC.,PH,DE,Big Dutchman AktiengeselIschaft,529900AXOUPVP04QCG44,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,DE,,
IN,PH,CH,PH,254900J7PNZASJY5AE13,BUNGE AGRIBUSINESS PHILS. I,PH,CH,Bunge Global SA,254900IVXSV9K0B7PO26,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,CH,,
IN,PH,US,PH,549300ZDW59MS56DDJ22,"C-JOY POULTRY MEATS PRODUCTION, INC.",PH,US,"CARGILL, INCORPORATED",QXZYQNMR4JZ5RIRN4T31,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,US,,
IN,PH,US,PH,549300SB2QQF7TMLMW58,CATERPILLAR FINANCIAL SERVICES PHILIPPINES INC.,PH,US,CATERPILLAR INC.,WRJR7GS4GTRECRRTVX92,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,CA,PH,9845005B415A048E5804,CGI PHILIPPINES INC.,PH,CA,CGI INC.,549300WSRCZY73ZG3090,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,CA,,
IN,PH,TH,PH,2549000OSZJHJQL5PD04,CHAROEN POKPHAND FOODS PHILIPPINES CORPORATION,PH,TH,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),529900FJ3AI2GKGIWK15,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,TH,,
IN,PH,US,PH,9845005ZC382FA36ED90,CONCEPCION-CARRIER AIR CONDITIONING COMPANY,PH,US,CARRIER GLOBAL CORPORATION,549300JE3W6CWY2NAN77,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,GB,PH,254900B0TWVO6GN5XT78,"Coca-Cola Europacific Aboitiz Philippines, Inc.",PH,GB,COCA-COLA EUROPACIFIC PARTNERS PLC,549300LTH67W4GWMRF57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,PH,DE,PH,529900WQPM2EF62LB597,DB Schenker Global Services Asia Pacific Inc.,PH,DE,Deutsche Bahn Aktiengesellschaft,52990063S23N13HU4E98,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,DE,PH,5299008UIYLEG3E9AV28,Draeger Philippines Corporation,PH,DE,Drägerwerk AG & Co. KGaA,5493005UFVHY0PPNKD75,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,SE,PH,529900R20W785TIKND93,"ESSITY PHILIPPINES, INC.",PH,SE,Essity Aktiebolag (publ),549300G8E6YUVJ1DA153,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SE,SE,,
IN,PH,DE,PH,5299008AKLLL1T0YSS54,Evonik (Philippines) Inc.,PH,DE,Evonik Industries AG,41GUOJQTALQHLF39XJ34,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,FR,PH,89450021LGT76D9E9J49,"Exclusive Networks - PH, Inc",PH,FR,EXCLUSIVE NETWORKS CORPORATE,969500GFM1C4M1KMPL74,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,FR,,
IN,PH,GB,PH,213800U31R1D7X3A4R13,FCF MINERALS CORPORATION,PH,GB,METALS EXPLORATION PLC,2138006CFXWG2OPRV987,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,PH,US,PH,254900PVUWR2BOBBU241,FIS SG SYSTEMS PHILIPPINES INC.,PH,US,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",6WQI0GK1PRFVBA061U48,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,
IN,PH,KY,PH,254900GY628YEK8EZL09,Falcon SG Holding (Philippines) Inc.,PH,KY,"Gateway Fund II, L.P.",254900YCYY2GED20AT50,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,KY,,
IN,PH,NZ,PH,254900CLB0C6Z44NK507,Fonterra Brands Phils. Inc.,PH,NZ,FONTERRA CO-OPERATIVE GROUP LIMITED,549300NCQQ9E4O5JX172,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,NZ,,
IN,PH,DE,PH,529900T2DH2TGSW2EE39,"Fresenius Kabi Philippines, Inc.",PH,DE,Fresenius SE & Co. KGaA,XDFJ0CYCOO1FXRFTQS51,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,DE,PH,529900YTY5Q7H4K14X02,"Fresenius Medical Care Philippines, Inc.",PH,DE,Fresenius Medical Care AG,549300CP8NY40UP89Q40,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,US,PH,549300X7WCODFWF5QH78,"GCP APPLIED TECHNOLOGIES OPERATIONS CENTER, INC.",PH,US,GCP APPLIED TECHNOLOGIES INC.,5493007G654QKQVEKV09,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,US,PH,549300PH53AOYHBZML40,GCP APPLIED TECHNOLOGIES PRODUCTS (PHILS.) INC.,PH,US,GCP APPLIED TECHNOLOGIES INC.,5493007G654QKQVEKV09,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,US,PH,549300042UVGFHUQZ649,GFI GROUP (PHILIPPINES) INC.,PH,US,"BGC Group, Inc.",2549001IGRCG4F0RLD36,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,US,PH,98450095A7ACA2DER517,HGST PHILIPPINES CORP.,PH,US,WESTERN DIGITAL CORPORATION,549300QQXOOYEF89IC56,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,DE,PH,52990038JTKGBU5A9G94,"Henkel Philippines, Inc.",PH,DE,Henkel AG & Co. KGaA,549300VZCL1HTH4O4Y49,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,SG,PH,254900GY1OKCCCG15831,Hyperion Storage Holdings Corporation,PH,SG,Keppel Infrastructure Fund Management Pte. Ltd. As Trustee-Manager Of Keppel Infrastructure Trust,254900BF7L1ZCMAZS467,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,SG,,
IN,PH,GB,PH,254900NPWQY0SUL2U072,IC AUTOMOTIVE INC.,PH,GB,INCHCAPE PLC,213800RGEH1MPPNM2T57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,PH,GB,PH,254900CLWGVL55ECJ307,IC LAND AUTOMOTIVE INC.,PH,GB,INCHCAPE PLC,213800RGEH1MPPNM2T57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,PH,GB,PH,254900962C74PUJ5VI64,IC STAR AUTOMOTIVE INC.,PH,GB,INCHCAPE PLC,213800RGEH1MPPNM2T57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,PH,GB,PH,254900XRI8M32IDFBX31,ICATS MOTORCYCLES INC.,PH,GB,INCHCAPE PLC,213800RGEH1MPPNM2T57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,GB,,
IN,PH,MU,PH,549300SNSFDLDA798O40,INDORAMA VENTURES PACKAGING (PHILIPPINES) CORPORATION,PH,MU,Canopus International Limited,25490039L6M8ZV6PQV25,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,NL,MU,,
IN,PH,US,PH,54930092JHCR7KND6M14,"J.P. Morgan Securities Philippines, Inc.",PH,US,JPMORGAN CHASE & CO.,8I5DZWZKVSZI1NUHU748,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,US,PH,5493002OYK1ETB00SV81,JOHNSON & JOHNSON (PHILS.) INC.,PH,US,Johnson & Johnson,549300G0CFPGEF6X2043,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,CH,PH,894500592XYJVVOO0D43,"KUEHNE + NAGEL, INC.",PH,CH,Kühne + Nagel International AG,529900Q0YED3805QXQ66,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,CH,CH,,
IN,PH,CH,PH,984500044EA3E7F92A89,Kuehne + Nagel Global Services Inc.,PH,CH,Kühne + Nagel International AG,529900Q0YED3805QXQ66,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,CH,CH,,
IN,PH,FR,PH,529900RV262YHM6SWJ32,"L'Oreal Philippines, Inc.",PH,FR,L'OREAL,529900JI1GG6F7RKVI53,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,
IN,PH,AE,PH,2549005BZL5S92UQEF42,"Lulu Financial Services (Phils.), Inc.",PH,AE,Lulu Financial Holdings Ltd,254900ZKUUG5N5HC3X48,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,AE,AE,,
IN,PH,DE,PH,529900H5PN4WILIL5A55,MAHLE Filter Systems Philippines Corporation,PH,DE,MAHLE GmbH,52990098TR1QJBWIYG58,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,
IN,PH,CA,PH,549300U2FYKM8UKYHH54,MANULIFE FINANCIAL PLANS INC.,PH,CA,Manulife Financial Corporation,5493007GBX87QOZACS27,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,CA,,
IN,PH,US,PH,549300VE1GXJ3T27HJ35,"MONDELEZ PHILIPPINES, INC.",PH,US,"MONDELEZ INTERNATIONAL, INC.",549300DV9GIB88LZ5P30,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,
IN,PH,KY,PH,5493007GUMSN1M6VM945,"MariBank Philippines, Inc.",PH,KY,Sea Limited,529900OM6JLLW44YKI15,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,KY,,
IN,PH,MY,PH,254900G2P8DQYLCF8Y95,"Maybank Securities, Inc.",PH,MY,MALAYAN BANKING BERHAD,5493004OT3TOY404V310,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,MY,,
IN,PH,US,PH,549300BUK7VE2AZSWO63,NEOVIA PHILIPPINES INC.,PH,US,ARCHER-DANIELS-MIDLAND COMPANY,549300LO13MQ9HYSTR83,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,AU,PH,254900SSV4MEOPDH7322,PEPPERMINT BIZMOTO INC.,PH,AU,Peppermint Innovation Limited,2549006H1MPAONCAR644,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,AU,AU,,
IN,PH,LU,PH,875500Y6EWVOXUH9BJ36,PERFETTI VAN MELLE PHILS. INC.,PH,LU,C+F CONFECTIONERY AND FOODS S.A.,875500UMCWW2X77MW772,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,NL,LU,,
IN,PH,FR,PH,2549009BIA22Q14RY435,PHILIPPINE AXA LIFE INSURANCE CORPORATION,PH,FR,AXA,F5WCUMTUM4RKZ1MAIE39,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,
IN,PH,US,PH,549300B50LSG97JLU459,PMFTC INC.,PH,US,Philip Morris International Inc.,HL3H1H2BGXWVG3BSWR90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,
IN,PH,GB,PH,213800KD24LQ7DEJV642,PRU LIFE UK ASSET MANAGEMENT AND TRUST CORPORATION,PH,GB,Prudential Public Limited Company,5493001Z3ZE83NGK8Y12,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,GB,,
