host_country,uie_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
PH,US,E_model_only,295,0,295,295,0.4526
PH,DE,E_model_only,220,0,220,220,0.4394
PH,US,A_hard_or_verified,41,41,0,0,1.0
PH,DE,A_hard_or_verified,30,30,0,0,1.0
PH,GB,A_hard_or_verified,19,19,0,0,1.0
PH,AMERICAS_OTHER,E_model_only,11,0,11,11,0.3805
PH,CH,A_hard_or_verified,9,9,0,0,1.0
PH,FR,A_hard_or_verified,8,8,0,0,1.0
PH,NL,A_hard_or_verified,7,7,0,0,1.0
PH,CA,A_hard_or_verified,4,4,0,0,1.0
PH,JE,A_hard_or_verified,4,4,0,0,1.0
PH,JP,A_hard_or_verified,4,4,0,0,1.0
PH,ASIA_OTHER,E_model_only,3,0,3,3,0.2494
PH,HK,A_hard_or_verified,3,3,0,0,1.0
PH,IE,A_hard_or_verified,3,3,0,0,1.0
PH,KY,A_hard_or_verified,3,3,0,0,1.0
PH,LU,A_hard_or_verified,3,3,0,0,1.0
PH,SG,A_hard_or_verified,3,3,0,0,1.0
PH,US,C_name_inferred,3,0,3,0,1.0
PH,DK,A_hard_or_verified,2,2,0,0,1.0
PH,AE,A_hard_or_verified,1,1,0,0,1.0
PH,AT,A_hard_or_verified,1,1,0,0,1.0
PH,AU,A_hard_or_verified,1,1,0,0,1.0
PH,CA,C_name_inferred,1,0,1,0,1.0
PH,DE,C_name_inferred,1,0,1,0,1.0
PH,EUROPE,E_model_only,1,0,1,1,0.2634
PH,FI,A_hard_or_verified,1,1,0,0,1.0
PH,IN,A_hard_or_verified,1,1,0,0,1.0
PH,IT,A_hard_or_verified,1,1,0,0,1.0
PH,MU,A_hard_or_verified,1,1,0,0,1.0
PH,MX,A_hard_or_verified,1,1,0,0,1.0
PH,MY,A_hard_or_verified,1,1,0,0,1.0
PH,NL,B_parent_or_exception,1,1,0,0,0.85
PH,NO,A_hard_or_verified,1,1,0,0,1.0
PH,NZ,A_hard_or_verified,1,1,0,0,1.0
PH,SE,A_hard_or_verified,1,1,0,0,1.0
PH,SG,B_parent_or_exception,1,1,0,0,0.85
PH,TH,A_hard_or_verified,1,1,0,0,1.0
PH,TW,A_hard_or_verified,1,1,0,0,1.0
