direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
OUT,SG,PH,SG,254900F5HGHOIGJZRL19,ABAQA INTERNATIONAL PTE. LTD.,SG,PH,Aboitiz Equity Ventures Inc.,254900MDNXYJKHXO0P61,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,PH,,0.0
OUT,SG,PH,SG,254900NPWELK2VHXCK55,ACEN Renewables International Pte. Ltd.,SG,PH,AYALA CORPORATION,254900QJ68UH8GKNGI69,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,PH,0.0
OUT,SG,PH,SG,254900QA8WC3U2LGJG20,AEV INTERNATIONAL PTE. LTD.,SG,PH,Aboitiz Equity Ventures Inc.,254900MDNXYJKHXO0P61,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,,0.0
OUT,SG,PH,SG,254900N9U5P416SI9D19,BPI WEALTH SINGAPORE PTE. LTD.,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,,0.0
OUT,SG,PH,SG,549300N2RG2EBS16OU32,DDPC WORLDWIDE PTE. LTD.,SG,PH,DOUBLEDRAGON CORPORATION,549300RYB1GASW5KV818,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,,0.0
OUT,SG,PH,SG,254900ZGMBQEQTFHLE32,ICTSI Far East Pte. Ltd.,SG,PH,"International Container Terminal Services, Inc.",254900FU1MWK0I0Q4J61,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,PH,,0.0
OUT,SG,PH,SG,213800FIP2SRT2BTBR79,JOLLIBEE WORLDWIDE PTE. LTD.,SG,PH,JOLLIBEE FOODS CORPORATION,2138009XN3KTAAKUPR35,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,,0.0
OUT,SG,PH,SG,254900MGQLQ1JN8S0T45,PLDT Capital Pte. Ltd.,SG,PH,PLDT Inc.,254900ADE8GQHM5P2648,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,PH,PH,0.0
OUT,SG,PH,SG,254900B36TXDQ8PNBJ20,PLDT Online Investments Pte. Ltd.,SG,PH,PLDT Inc.,254900ADE8GQHM5P2648,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,PH,,0.0
OUT,SG,PH,SG,254900CQKQDZMZH3G563,SMIC SG HOLDINGS PTE. LTD.,SG,PH,SM INVESTMENTS CORPORATION,254900YB8UATFP21AF80,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,,0.0
OUT,SG,PH,SG,2549002L5A656JV9N907,SMPHI SG HOLDINGS PTE. LTD.,SG,PH,SM INVESTMENTS CORPORATION,254900YB8UATFP21AF80,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,PH,0.0
OUT,SG,PH,SG,254900K8QUJQDS3IMK21,AGLAIA FAMILY OFFICE PTE. LTD.,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0.0
OUT,SG,PH,SG,254900CTOPVDNPZPEF02,AP GLOBAL STRATEGIES FUND II,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0.0
OUT,SG,PH,SG,254900QWH0J4M8UOHR96,AP GLOBAL STRATEGIES VCC,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0.0
OUT,SG,PH,SG,254900W8SRDQ6RBEVA38,AP Global Strategies Fund I,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0.0
OUT,SG,PH,SG,254900W3REVJHWYFN607,ARROWPOINT INVESTMENT PARTNERS (SINGAPORE) PTE. LTD.,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0.0
OUT,SG,PH,SG,254900ZM8OR96TLCK609,AXIUM CAPITAL PTE. LTD.,SG,PH,BANK OF THE PHIL. ISLANDS,549300UW4UH6XT2X8C50,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0.0
