direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,SG,JP,SG,549300VI6FGX48IZPM04,"""K"" LINE PTE LTD",SG,JP,川崎汽船株式会社,353800FL04R73DS5P870,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,JP,JP,,0
IN,SG,DE,SG,5299004ZCZ3DBGMBIJ51,360T ASIA PACIFIC PTE. LTD.,SG,DE,Deutsche Börse Aktiengesellschaft,529900G3SW56SHYNPR95,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,0
IN,SG,IN,SG,984500IBA0E8844A6726,A ONE GOLD SINGAPORE PTE. LTD.,SG,IN,A-ONE STEELS INDIA LIMITED,335800G7ZOBLF3SXHB36,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,IN,IN,,0
IN,SG,PH,SG,254900F5HGHOIGJZRL19,ABAQA INTERNATIONAL PTE. LTD.,SG,PH,Aboitiz Equity Ventures Inc.,254900MDNXYJKHXO0P61,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,PH,,0
IN,SG,US,SG,549300E06DD6S9CM0K12,"ABBOTT MEDICAL (SINGAPORE), PTE. LTD.",SG,US,ABBOTT LABORATORIES,HQD377W2YR662HK5JX27,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,0
IN,SG,FR,SG,6354009CKAEF7GU3OC74,ABC Arbitrage Asset Management Asia Pte. Ltd.,SG,FR,ABC ARBITRAGE,969500IZ7E6B3QVX2I11,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,0
IN,SG,IN,SG,254900E6OE5YJ9WCCU19,ABJA INVESTMENT CO. PTE. LTD.,SG,IN,TATA STEEL LIMITED,335800E6C75YGSGD5T66,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,IN,IN,,0
IN,SG,US,SG,254900TMKP3JU0LFFI47,ACADIAN ASSET MANAGEMENT (SINGAPORE) PTE LTD,SG,US,Acadian Asset Management LLC,RQTOM0CI0L1JQEIRRN40,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,0
IN,SG,PH,SG,254900NPWELK2VHXCK55,ACEN Renewables International Pte. Ltd.,SG,PH,AYALA CORPORATION,254900QJ68UH8GKNGI69,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,PH,PH,PH,0
IN,SG,US,SG,254900SM6PCNBV2T1T84,ACI WORLDWIDE (ASIA) PTE. LTD.,SG,US,"ACI WORLDWIDE, INC.",5493003BPVMZUJ6F5C02,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,0
