source_country,destination_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
SG,MY,E_model_only,334,0,334,334,0.8207
SG,MY,A_hard_or_verified,25,25,0,0,1.0
SG,ID,A_hard_or_verified,19,19,0,0,1.0
SG,MY,D_address_inferred,7,0,7,0,0.7
SG,TH,A_hard_or_verified,6,6,0,0,1.0
SG,VN,A_hard_or_verified,6,6,0,0,1.0
SG,MY,C_name_inferred,3,0,3,0,1.0
SG,PH,A_hard_or_verified,3,3,0,0,1.0
SG,TH,D_address_inferred,3,0,3,0,0.6
SG,TH,B_parent_or_exception,2,2,0,0,0.85
SG,ID,B_parent_or_exception,1,1,0,0,0.85
SG,MY,B_parent_or_exception,1,1,0,0,0.85
SG,PH,B_parent_or_exception,1,1,0,0,0.85
SG,VN,E_model_only,1,0,1,1,0.8342
