direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,TH,DE,TH,254900S5Q47WW6DH9R23,ADIDAS (THAILAND) COMPANY LIMITED,TH,DE,adidas AG,549300JSX0Z4CW0V5023,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,DE,DE,,0.0
IN,TH,BM,TH,2138003C9DBI9I4ZR845,"ADMS GOLBAL SERVICES (THAILAND) CO.,LTD.",TH,BM,Aegon Ltd.,O4QK7KMMK83ITNTHUG69,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,BM,,0.0
IN,TH,BM,TH,213800CN7ISVO16Y1B81,"AEGON DIRECT & AFFINITY MARKETING SERVICES (THAILAND) CO.,LTD.",TH,BM,Aegon Ltd.,O4QK7KMMK83ITNTHUG69,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,BM,,0.0
IN,TH,BM,TH,213800KYU495KRK1TT89,"AEGON DIRECT LIFE INSURANCE CO.,LTD.",TH,BM,Aegon Ltd.,O4QK7KMMK83ITNTHUG69,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,BM,BM,0.0
IN,TH,BM,TH,213800NLLWGM5Z858M59,"AEGON DIRECT NON LIFE INSURANCE BROKER THAILAND CO.,LTD.",TH,BM,Aegon Ltd.,O4QK7KMMK83ITNTHUG69,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,BM,BM,0.0
IN,TH,HK,TH,549300A6FQXVKIMVJG88,AIA INVESTMENT MANAGEMENT (THAILAND) LIMITED,TH,HK,AIA Group Limited,ZP5ILWVSYE4LJGMMVD57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,HK,HK,,0.0
IN,TH,NL,TH,549300Y00S0076EAFS65,ATOTECH (THAILAND) COMPANY LIMITED,TH,NL,Atotech B.V.,529900PCHLQ9RMGYML57,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,NL,NL,,0.0
IN,TH,US,TH,MG8URDW1RUDNRPBHVO36,B.E.S. COMPANY LIMITED,TH,US,CITIGROUP INC.,6SHGI4ZSSLCXXQSBB395,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,0.0
IN,TH,NL,TH,549300CEPHCAISPSJ139,CBI (THAILAND) COMPANY LIMITED,TH,NL,CHICAGO BRIDGE & IRON COMPANY N.V.,75H8W24NDBLLSXSCXH23,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,NL,,0.0
IN,TH,US,TH,549300TWQMYSVX4UZG60,DOW AGROSCIENCES (THAILAND) LTD.,TH,US,DOW INC.,5493003S21INSLK2IP73,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,0.0
