host_country,uie_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
TH,EUROPE,E_model_only,1027,0,1027,1027,0.4078
TH,DE,E_model_only,467,0,467,467,0.3093
TH,US,E_model_only,249,0,249,249,0.2362
TH,GB,E_model_only,128,0,128,128,0.2488
TH,US,A_hard_or_verified,71,71,0,0,1.0
TH,DE,A_hard_or_verified,67,67,0,0,1.0
TH,ASIA_OTHER,E_model_only,61,0,61,61,0.2387
TH,OTHER,E_model_only,38,0,38,38,0.2647
TH,FR,A_hard_or_verified,21,21,0,0,1.0
TH,GB,A_hard_or_verified,21,21,0,0,1.0
TH,CH,A_hard_or_verified,9,9,0,0,1.0
TH,FR,E_model_only,9,0,9,9,0.274
TH,JP,A_hard_or_verified,8,8,0,0,1.0
TH,MY,D_address_inferred,7,0,7,0,0.6
TH,SG,A_hard_or_verified,6,6,0,0,1.0
TH,BE,A_hard_or_verified,5,5,0,0,1.0
TH,DK,D_address_inferred,5,0,5,0,0.6
TH,IN,A_hard_or_verified,5,5,0,0,1.0
TH,JE,A_hard_or_verified,5,5,0,0,1.0
TH,NL,A_hard_or_verified,5,5,0,0,1.0
TH,AT,A_hard_or_verified,4,4,0,0,1.0
TH,BM,A_hard_or_verified,4,4,0,0,1.0
TH,KR,A_hard_or_verified,4,4,0,0,1.0
TH,MY,A_hard_or_verified,4,4,0,0,1.0
TH,DK,A_hard_or_verified,3,3,0,0,1.0
TH,IT,A_hard_or_verified,3,3,0,0,1.0
TH,OFFSHORE,E_model_only,3,0,3,3,0.2837
TH,SE,A_hard_or_verified,3,3,0,0,1.0
TH,SG,D_address_inferred,3,0,3,0,0.6
TH,TR,A_hard_or_verified,3,3,0,0,1.0
TH,US,C_name_inferred,3,0,3,0,1.0
TH,AU,A_hard_or_verified,2,2,0,0,1.0
TH,CH,B_parent_or_exception,2,2,0,0,0.85
TH,DE,D_address_inferred,2,0,2,0,0.6
TH,FI,A_hard_or_verified,2,2,0,0,1.0
TH,GB,C_name_inferred,2,0,2,0,1.0
TH,HK,A_hard_or_verified,2,2,0,0,1.0
TH,IE,A_hard_or_verified,2,2,0,0,1.0
TH,SG,B_parent_or_exception,2,2,0,0,0.85
TH,CA,A_hard_or_verified,1,1,0,0,1.0
TH,CN,A_hard_or_verified,1,1,0,0,1.0
TH,DE,C_name_inferred,1,0,1,0,1.0
TH,DK,C_name_inferred,1,0,1,0,1.0
TH,FR,C_name_inferred,1,0,1,0,1.0
TH,GB,B_parent_or_exception,1,1,0,0,0.85
TH,KY,A_hard_or_verified,1,1,0,0,1.0
TH,LU,C_name_inferred,1,0,1,0,1.0
TH,NL,C_name_inferred,1,0,1,0,1.0
TH,NO,A_hard_or_verified,1,1,0,0,1.0
TH,PL,A_hard_or_verified,1,1,0,0,1.0
TH,TW,A_hard_or_verified,1,1,0,0,1.0
TH,US,B_parent_or_exception,1,1,0,0,0.85
TH,VG,A_hard_or_verified,1,1,0,0,1.0
