direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
OUT,SG,TH,SG,549300NTLOCZMW2BXO57,AURORA PRECIOUS METAL INTERNATIONAL PTE. LTD.,SG,TH,บริษัท ออโรร่า เทรดดิ้ง จำกัด,254900BNAR0GSJXZ2H18,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,TH,,0
OUT,SG,TH,SG,9845001BXWEC83754864,BANPU MINERALS (SINGAPORE) PTE LTD,SG,TH,บริษัท บ้านปู จำกัด (มหาชน),529900AJ2Z6SUR6TSW75,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,TH,,0
OUT,SG,TH,SG,875500HVKMS50LMBD831,BANPU RENEWABLE SINGAPORE PTE. LTD.,SG,TH,บริษัท บ้านปู จำกัด (มหาชน),529900AJ2Z6SUR6TSW75,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,TH,,0
OUT,SG,TH,SG,8945000SSG0SES8IUT40,BCPG Investment Holdings Pte. Ltd.,SG,TH,บริษัท บีซีพีจี จำกัด (มหาชน),894500FVDZ6U50GW3W11,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,TH,,0
OUT,SG,TH,SG,549300GKOESB2JNEBQ36,FAR EAST AGRI PTE. LTD.,SG,TH,บริษัท น้ำตาลมิตรผล จำกัด,254900PYEL98SW9EDF02,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,TH,,0
OUT,SG,TH,SG,254900EYLD1L0657JI56,HUA SENG HENG SINGAPORE PTE. LTD.,SG,TH,บริษัท ฮั่วเซ่งเฮง คอมโมดิทัซ จำกัด,254900GZXMRUN0OE7W30,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,TH,TH,,0
OUT,SG,TH,SG,254900JK1HF7AJCDDO46,MHG CONTINENTAL HOLDING (SINGAPORE) PTE. LTD.,SG,TH,บริษัท ไมเนอร์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),254900T4WB2UF9XPX041,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,TH,,0
OUT,SG,TH,SG,9845004E1E0TF88D5010,PRECIOUS BREEZE PTE. LTD.,SG,TH,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),984500F66CA49E3F6C33,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,TH,TH,0
OUT,SG,TH,SG,984500E589E0595D4132,PRECIOUS BRIDGES PTE. LTD.,SG,TH,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),984500F66CA49E3F6C33,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,TH,TH,0
OUT,SG,TH,SG,984500772B1E86008B67,PRECIOUS FORESTS PTE. LTD.,SG,TH,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),984500F66CA49E3F6C33,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,TH,TH,0
OUT,SG,TH,SG,9845002C03A889464540,PRECIOUS FRAGRANCE PTE. LTD.,SG,TH,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),984500F66CA49E3F6C33,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,SG,TH,TH,0
