direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,VN,CH,VN,549300YE7EDCK0ILIU11,ABB LTD,VN,CH,ABB Asea Brown Boveri Ltd,5493003DNMEAO1DT3F51,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,CH,CH,,0
IN,VN,US,VN,549300F1WQCZRZ12ED23,AES-VCM MONG DUONG POWER COMPANY LIMITED,VN,US,THE AES CORPORATION,2NUNNB7D43COUIRE5295,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,,US,,0
IN,VN,NL,VN,5493001AA3NV7CRH5459,AKZO NOBEL PAINTS VIETNAM LTD.,VN,NL,Akzo Nobel N.V.,724500XYIJUGXAA5QD70,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,GB,NL,,0
IN,VN,US,VN,549300JIPNWJ6OUHGV98,ALSTOM GRID VIETNAM COMPANY LIMITED,VN,US,GENERAL ELECTRIC COMPANY,3C7474T6CDKPR9K6YT90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,NL,US,,0
IN,VN,US,VN,549300NI5RTG1TTICK52,ALSTOM PMTP POWER SERVICE LLC.,VN,US,GENERAL ELECTRIC COMPANY,3C7474T6CDKPR9K6YT90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,MY,US,,0
IN,VN,US,VN,549300IE4MDIS0R8WL18,ALSTOM RENEWABLE VIETNAM LIMITED,VN,US,GENERAL ELECTRIC COMPANY,3C7474T6CDKPR9K6YT90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,US,US,,0
IN,VN,US,VN,549300UO7645NDMNUI53,ALSTOM VIETNAM COMPANY LIMITED,VN,US,GENERAL ELECTRIC COMPANY,3C7474T6CDKPR9K6YT90,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,NL,US,,0
IN,VN,FR,VN,5299005WCU3T9JBL2S12,Air Liquide VietNam Company Limited,VN,FR,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,969500MMPQVHK671GT54,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,0
IN,VN,FR,VN,549300GUOCKHFHY0X775,"CAMSO VIETNAM CO., LTD",VN,FR,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,549300SOSI58J6VIW052,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,FR,FR,,0
IN,VN,VN,VN,2549004BNPQEWA8DOF09,CONG TY CO PHAN THE GIOI DI DONG,VN,VN,CONG TY CO PHAN DAU TU THE GIOI DI DONG,254900ZRFNB8CRAHHO95,gleif_ultimate_parent,A_known_ultimate_parent,A_hard_or_verified,1.0,1,0,VN,VN,,0
