host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
KH,25490014ZYYDSY6IPW93,CROWN Beverage Cans (Cambodia) Limited,KH,2549001D3NPKX8W8KG76,CROWN ASIA PACIFIC HOLDINGS PTE. LTD.,SG,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,,,,,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900W039RO9TMLMX94,Crown Khmer Beverage Cans Limited,KH,2549001D3NPKX8W8KG76,CROWN ASIA PACIFIC HOLDINGS PTE. LTD.,SG,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,,,,,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900STSDWSEK4YXQ71,ការបញ្ជូនកម្ពុជា មានកំណត់,KH,,,,213800U4E6CA2NKI2931,HNG CAPITAL SDN. BHD,MY,,,,,213800U4E6CA2NKI2931,HNG CAPITAL SDN. BHD,MY,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,984500Z3C988039BC262,តែលកូថេក,KH,98450068458E48FBB746,អ៊ីហ្សីខម ខូ អិលធីឌី,KH,98450068458E48FBB746,អ៊ីហ្សីខម ខូ អិលធីឌី,KH,,,,,98450068458E48FBB746,អ៊ីហ្សីខម ខូ អិលធីឌី,KH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,0.6202,,OTHER;AMERICAS_OTHER;EUROPE,0.6202;0.3798;0.0,0,,,,,,,,
KH,549300R2EX6BTYLO9246,ធនាគារ (ខេមបូឌា) ភីអិលស៊ី,KH,549300EGI40XD5GGWS62,HONG LEONG FINANCIAL GROUP BERHAD,MY,549300EGI40XD5GGWS62,HONG LEONG FINANCIAL GROUP BERHAD,MY,,,,,549300EGI40XD5GGWS62,HONG LEONG FINANCIAL GROUP BERHAD,MY,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900QR8KCOLLDHYO43,ធនាគារ BRED (កម្ពុជា) ភីអិលស៊ី,KH,NICH5Q04ADUV9SN3Q390,BRED BANQUE POPULAIRE,FR,9695005MSX1OYEMGDF46,BPCE,FR,,,,,9695005MSX1OYEMGDF46,BPCE,FR,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,1.0,,EUROPE;OTHER;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,5493003OZ08PS8IJMR09,ធនាគារ ចំកាត់.,KH,BSGEFEIOM18Y80CKCV46,NATIONAL BANK OF CANADA,CA,BSGEFEIOM18Y80CKCV46,NATIONAL BANK OF CANADA,CA,,,,,BSGEFEIOM18Y80CKCV46,NATIONAL BANK OF CANADA,CA,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,AMERICAS_OTHER,1.0,,AMERICAS_OTHER;OTHER;EUROPE,1.0;0.0;0.0,0,,,,,,,,
KH,25490084P914AA0V8D84,ធនាគារ មេយប៊ែង (ខេមបូឌា) ភីអិលស៊ី,KH,5493004OT3TOY404V310,MALAYAN BANKING BERHAD,MY,5493004OT3TOY404V310,MALAYAN BANKING BERHAD,MY,,,,,5493004OT3TOY404V310,MALAYAN BANKING BERHAD,MY,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,21380072WOWXRC8SLO49,ព្រូដិនសល (ខេមបូឌា) ភីអិលស៊ី,KH,549300KDOPLFHAW51H26,Prudential Corporation Holdings Limited,GB,5493001Z3ZE83NGK8Y12,Prudential Public Limited Company,GB,,,,,5493001Z3ZE83NGK8Y12,Prudential Public Limited Company,GB,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,1.0,,EUROPE;OTHER;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900YA4OYIA2K9HH70,ភេសជ្ជៈ CROWN ខេត្តព្រះសីហនុ,KH,2549001D3NPKX8W8KG76,CROWN ASIA PACIFIC HOLDINGS PTE. LTD.,SG,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,,,,,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
