host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
MY,5493009DCRRVVLU39C70,AAK MALAYSIA SDN. BHD.,MY,5493003BJ2QAVE4OB592,AAK DENMARK A/S,DK,549300GK4LGIDDWJWL07,AAK AB (PUBL),SE,,,,,549300GK4LGIDDWJWL07,AAK AB (PUBL),SE,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.8078,0.6292,US;GB;DE,0.8078;0.1786;0.0112,1,AAK MALAYSIA SDN. BHD.,,100.0,exact,,,,
MY,254900A8H1DEB4545R79,ABB NOMINEE (ASING) SDN. BHD.,MY,2549002RX9QANY14OL51,AFFIN BANK BERHAD,MY,2549002RX9QANY14OL51,AFFIN BANK BERHAD,MY,,,,,2549002RX9QANY14OL51,AFFIN BANK BERHAD,MY,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,GB,0.9273,0.892,GB;EUROPE;ASIA_OTHER,0.9273;0.0354;0.0225,1,ABB NOMINEE (ASING) SDN. BHD.,,100.0,exact,,,,
MY,254900TABNC4TS9QPJ43,ABB NOMINEE (TEMPATAN) SDN. BHD.,MY,2549002RX9QANY14OL51,AFFIN BANK BERHAD,MY,2549002RX9QANY14OL51,AFFIN BANK BERHAD,MY,,,,,2549002RX9QANY14OL51,AFFIN BANK BERHAD,MY,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,GB,0.8829,0.8305,GB;EUROPE;ASIA_OTHER,0.8829;0.0524;0.0387,1,ABB NOMINEE (TEMPATAN) SDN. BHD.,,100.0,exact,,,,
MY,549300VP0Z4M1G8BHC45,ABBOTT LABORATORIES (MALAYSIA) SDN. BHD.,MY,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.985,0.9714,US;GB;DE,0.985;0.0136;0.0013,1,ABBOTT LABORATORIES (MALAYSIA) SDN. BHD.,,100.0,exact,,,,
MY,549300UGIZ7AB56WW295,ABBOTT MEDICAL (MALAYSIA) SDN. BHD.,MY,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9965,0.9936,US;DE;SG,0.9965;0.0029;0.0003,1,ABBOTT MEDICAL (MALAYSIA) SDN. BHD.,,100.0,exact,,,,
MY,213800NL25T5A9HFTD21,ABRDN MALAYSIA SDN. BHD.,MY,213800QH7HBN5INYL257,ABRDN HOLDINGS LIMITED,GB,0TMBS544NMO7GLCE7H90,ABERDEEN GROUP PLC,GB,,,,,0TMBS544NMO7GLCE7H90,ABERDEEN GROUP PLC,GB,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.8785,0.762,US;DE;SG,0.8785;0.1166;0.0031,1,ABRDN MALAYSIA SDN. BHD.,,100.0,exact,,,,
MY,254900ZMIRZYTKZ85B06,ACI WORLDWIDE (MALAYSIA) SDN. BHD.,MY,,,,5493003BPVMZUJ6F5C02,"ACI WORLDWIDE, INC.",US,,,,,5493003BPVMZUJ6F5C02,"ACI WORLDWIDE, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9848,0.9798,US;GB;DE,0.9848;0.005;0.0042,1,ACI WORLDWIDE (MALAYSIA) SDN. BHD.,,100.0,exact,,,,
MY,254900C846E1OR3LO578,ADYEN MALAYSIA SDN. BHD.,MY,254900GZI5YQV9VVOW75,Adyen International B.V.,NL,724500973ODKK3IFQ447,Adyen N.V.,NL,,,,,724500973ODKK3IFQ447,Adyen N.V.,NL,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,0.989,0.9825,EUROPE;DE;SG,0.989;0.0065;0.0017,1,ADYEN MALAYSIA SDN. BHD.,,100.0,exact,,,,
MY,549300814E85BBGD5605,AGILENT TECHNOLOGIES LDA MALAYSIA SDN. BHD.,MY,,,,QUIX8Y7A2WP0XRMW7G29,"AGILENT TECHNOLOGIES, INC.",US,,,,,QUIX8Y7A2WP0XRMW7G29,"AGILENT TECHNOLOGIES, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9908,0.9859,US;SG;DE,0.9908;0.0048;0.0031,1,AGILENT TECHNOLOGIES LDA MALAYSIA SDN. BHD.,,100.0,exact,,,,
MY,549300QXVQOPEVTM1149,AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN. BHD.,MY,QUIX8Y7A2WP0XRMW7G29,"AGILENT TECHNOLOGIES, INC.",US,QUIX8Y7A2WP0XRMW7G29,"AGILENT TECHNOLOGIES, INC.",US,,,,,QUIX8Y7A2WP0XRMW7G29,"AGILENT TECHNOLOGIES, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9927,0.99,US;DE;EUROPE,0.9927;0.0027;0.0024,1,AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN. BHD.,,100.0,exact,,,,
MY,549300E6FQ4TLWHME718,AIA BHD.,MY,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,,,,,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OFFSHORE,0.9874,0.9784,OFFSHORE;GB;SG,0.9874;0.009;0.0031,1,AIA BHD.,,100.0,exact,,,,
MY,254900ZJAPW03APJLK09,AIA PENSION AND ASSET MANAGEMENT SDN. BHD.,MY,549300E6FQ4TLWHME718,AIA BHD.,MY,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,ultimate_parent,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9848,0.9782,US;DE;ASIA_OTHER,0.9848;0.0066;0.0027,1,AIA PENSION AND ASSET MANAGEMENT SDN. BHD.,,100.0,exact,,,,
MY,549300SCF00QR3AK7011,AIG MALAYSIA INSURANCE BERHAD,MY,,,,ODVCVCQG2BP6VHV36M30,"AMERICAN INTERNATIONAL GROUP, INC.",US,,,,,ODVCVCQG2BP6VHV36M30,"AMERICAN INTERNATIONAL GROUP, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9902,0.9872,US;EUROPE;DE,0.9902;0.0029;0.0028,1,AIG MALAYSIA INSURANCE BERHAD,,100.0,exact,,,,
MY,25490039W9NLTSQ3H640,AIIMAN ASSET MANAGEMENT SDN. BHD.,MY,549300KWMDAFBV6VR711,AHAM Asset Management Berhad,MY,549300KWMDAFBV6VR711,AHAM Asset Management Berhad,MY,,,,,549300KWMDAFBV6VR711,AHAM Asset Management Berhad,MY,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.875,0.7792,US;SG;EUROPE,0.875;0.0958;0.0222,1,AIIMAN ASSET MANAGEMENT SDN. BHD.,,100.0,exact,,,,
MY,5299006QP7Z12V3U6H36,AIR LIQUIDE MALAYSIA SDN BHD,MY,969500MMPQVHK671GT54,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,FR,969500MMPQVHK671GT54,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,FR,,,,,969500MMPQVHK671GT54,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,FR,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,ASIA_OTHER,0.5884,0.3012,ASIA_OTHER;US;OTHER,0.5884;0.2872;0.083,1,AIR LIQUIDE MALAYSIA SDN. BHD.,,100.0,exact,,,,
MY,549300KMJMOY5X1CCM85,AIR PRODUCTS MALAYSIA SDN. BHD.,MY,GNW2BNDXTGZVMKOM1956,PRODAIR CORPORATION,US,7QEON6Y1RL5XR3R1W237,"AIR PRODUCTS AND CHEMICALS, INC.",US,,,,,7QEON6Y1RL5XR3R1W237,"AIR PRODUCTS AND CHEMICALS, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.8756,0.7902,US;DE;GB,0.8756;0.0855;0.0204,1,AIR PRODUCTS MALAYSIA SDN. BHD.,,100.0,exact,,,,
MY,549300UKUSKIRAIZD625,AIR PRODUCTS SHARED SERVICES SDN. BHD.,MY,GNW2BNDXTGZVMKOM1956,PRODAIR CORPORATION,US,7QEON6Y1RL5XR3R1W237,"AIR PRODUCTS AND CHEMICALS, INC.",US,,,,,7QEON6Y1RL5XR3R1W237,"AIR PRODUCTS AND CHEMICALS, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.9975,0.9959,US;GB;SG,0.9975;0.0015;0.0004,1,AIR PRODUCTS SHARED SERVICES SDN. BHD.,,100.0,exact,,,,
