host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
PH,549300JBDVIIMW4FW262,ABBOTT LABORATORIES.,PH,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,NON_PUBLIC,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,ABBOTT LABORATORIES,100.0,,,,,US,0.6685,0.4345,US;DE;AMERICAS_OTHER,0.6685;0.2341;0.046,0,,,,,,,,
PH,5493005RFT8TSVQA8J94,"ABBOTT PRODUCTS (PHILIPPINES), INC.",PH,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,NON_PUBLIC,,,,,,,,,,US,0.478,0.2473,US;DE;OFFSHORE,0.478;0.2307;0.0942,0,,,,,,,,
PH,254900UHTKF4VBSFTL94,ABOITIZ POWER CORPORATION,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,,,,,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,0.3727,0.1231,EUROPE;DE;US,0.3727;0.2496;0.1975,0,,,,,,,,
PH,254900991FLRNZJTN223,"ABOITIZ RENEWABLES, INC.",PH,254900UHTKF4VBSFTL94,ABOITIZ POWER CORPORATION,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,ultimate_parent,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,DE,0.3603,0.0337,DE;EUROPE;US,0.3603;0.3266;0.1855,0,,,,,,,,
PH,254900IST03MP55ID065,"ABOITIZ SOLAR POWER, INC.",PH,254900UHTKF4VBSFTL94,ABOITIZ POWER CORPORATION,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,ultimate_parent,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,0.6437,0.5203,EUROPE;DE;OTHER,0.6437;0.1235;0.1199,0,,,,,,,,
PH,549300ZYHD5YBZVSYZ84,AC ENERGY AND INFRASTRUCTURE CORPORATION,PH,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,,,,,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,0.344,0.1218,EUROPE;OTHER;AMERICAS_OTHER,0.344;0.2222;0.2174,0,,,,,,,,
PH,9845005786C3ECS39075,ACCENTURE INC.,PH,5493000EWHDSR3MZWH98,ACCENTURE PUBLIC LIMITED COMPANY,IE,5493000EWHDSR3MZWH98,ACCENTURE PUBLIC LIMITED COMPANY,IE,,,,,5493000EWHDSR3MZWH98,ACCENTURE PUBLIC LIMITED COMPANY,IE,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,NATURAL_PERSONS,,,,,,,,,,DE,0.4542,0.2281,DE;EUROPE;US,0.4542;0.2261;0.1251,0,,,,,,,,
PH,549300LGUZQ61GQQXQ60,ACEN CORPORATION,PH,549300ZYHD5YBZVSYZ84,AC ENERGY AND INFRASTRUCTURE CORPORATION,PH,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,ultimate_parent,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,0.4551,0.1953,EUROPE;OTHER;DE,0.4551;0.2598;0.0913,0,,,,,,,,
PH,254900C2BIGFW3G5WX22,"ACI WORLDWIDE PHILIPPINE ISLANDS, INC.",PH,,,,5493003BPVMZUJ6F5C02,"ACI WORLDWIDE, INC.",US,,,,,5493003BPVMZUJ6F5C02,"ACI WORLDWIDE, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.3756,0.186,US;EUROPE;OTHER,0.3756;0.1896;0.1464,0,,,,,,,,
PH,2549002EYT5NOBQDD489,"AFS PHILIPPINES, INC.",PH,254900X17Q0HT8RQQ134,Amstel Financial Services (S) Pte. Ltd.,SG,254900X17Q0HT8RQQ134,Amstel Financial Services (S) Pte. Ltd.,SG,,,,,254900X17Q0HT8RQQ134,Amstel Financial Services (S) Pte. Ltd.,SG,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,DE,0.6389,0.4601,DE;US;AMERICAS_OTHER,0.6389;0.1788;0.0532,0,,,,,,,,
PH,54930002LN93NOB84W02,AIA PHILIPPINES LIFE AND GENERAL INSURANCE COMPANY INC.,PH,RU6VTXUC5TNXNI3V7Y80,AIA Company Limited,HK,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,,,,,ZP5ILWVSYE4LJGMMVD57,AIA Group Limited,HK,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.5913,0.4384,US;AMERICAS_OTHER;DE,0.5913;0.153;0.0981,0,,,,,,,,
PH,549300HP5KXSGMEBD023,ALASKA MILK CORPORATION,PH,724500CDWM1CHYS8AP31,Koninklijke FrieslandCampina N.V.,NL,724500CDWM1CHYS8AP31,Koninklijke FrieslandCampina N.V.,NL,,,,,724500CDWM1CHYS8AP31,Koninklijke FrieslandCampina N.V.,NL,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,DE,0.4479,0.1858,DE;US;EUROPE,0.4479;0.262;0.1124,0,,,,,,,,
PH,549300TLRUTK27L3TH44,"ALERE PHILIPPINES, INC.",PH,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.3373,0.1696,US;DE;AMERICAS_OTHER,0.3373;0.1676;0.1314,0,,,,,,,,
PH,529900SU3LHDITZGTC93,ALTAIR TECHNOLOGIES PHILIPPINES INC.,PH,W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,DE,W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,DE,,,,,W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,DE,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,DE,0.5564,0.4127,DE;US;EUROPE,0.5564;0.1437;0.1436,0,,,,,,,,
PH,549300BVSUOI0J2YXU30,ANALOG DEVICES GEN. TRIAS INC.,PH,5493008RVYTSWTF40I68,Analog Devices Holdings B.V.,IE,GYVOE5EZ4GDAVTU4CQ61,"ANALOG DEVICES, INC.",US,,,,,GYVOE5EZ4GDAVTU4CQ61,"ANALOG DEVICES, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.5015,0.2452,US;DE;AMERICAS_OTHER,0.5015;0.2564;0.1038,0,,,,,,,,
PH,254900TKWMPYMXV22776,AP RENEWABLE ENERGY CORPORATION,PH,254900991FLRNZJTN223,"ABOITIZ RENEWABLES, INC.",PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,ultimate_parent,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,EUROPE,0.622,0.4237,EUROPE;OTHER;ASIA_OTHER,0.622;0.1983;0.0578,0,,,,,,,,
