host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
SG,549300VI6FGX48IZPM04,"""K"" LINE PTE LTD",SG,353800FL04R73DS5P870,川崎汽船株式会社,JP,353800FL04R73DS5P870,川崎汽船株式会社,JP,,,,,353800FL04R73DS5P870,川崎汽船株式会社,JP,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,JP,0.642,0.4722,JP;IN;EUROPE,0.642;0.1698;0.0581,0,,,,,,,,
SG,5299004ZCZ3DBGMBIJ51,360T ASIA PACIFIC PTE. LTD.,SG,529900G3SW56SHYNPR95,Deutsche Börse Aktiengesellschaft,DE,529900G3SW56SHYNPR95,Deutsche Börse Aktiengesellschaft,DE,,,,,529900G3SW56SHYNPR95,Deutsche Börse Aktiengesellschaft,DE,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,DE,0.5977,0.3747,DE;NL;US,0.5977;0.223;0.0389,0,,,,,,,,
SG,984500IBA0E8844A6726,A ONE GOLD SINGAPORE PTE. LTD.,SG,335800G7ZOBLF3SXHB36,A-ONE STEELS INDIA LIMITED,IN,335800G7ZOBLF3SXHB36,A-ONE STEELS INDIA LIMITED,IN,,,,,335800G7ZOBLF3SXHB36,A-ONE STEELS INDIA LIMITED,IN,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,IN,0.3847,0.0734,IN;US;DE,0.3847;0.3112;0.0801,0,,,,,,,,
SG,2549003483X2NJ4IPH41,AASTAR TRADING PTE. LTD.,SG,984500C9A95SFFBF4C64,WH INVESTMENTS PTE. LTD.,SG,984500C9A95SFFBF4C64,WH INVESTMENTS PTE. LTD.,SG,,,,,984500C9A95SFFBF4C64,WH INVESTMENTS PTE. LTD.,SG,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,DE,0.2901,0.0699,DE;IN;KY,0.2901;0.2201;0.0925,0,,,,,,,,
SG,254900F5HGHOIGJZRL19,ABAQA INTERNATIONAL PTE. LTD.,SG,,,,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,,,,,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,ASIA_OTHER,0.8209,0.7682,ASIA_OTHER;KY;IN,0.8209;0.0527;0.0292,0,,,,,,,,
SG,549300E06DD6S9CM0K12,"ABBOTT MEDICAL (SINGAPORE), PTE. LTD.",SG,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,,,,,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.7741,0.7065,US;TH;KY,0.7741;0.0676;0.0334,0,,,,,,,,
SG,6354009CKAEF7GU3OC74,ABC Arbitrage Asset Management Asia Pte. Ltd.,SG,969500IZ7E6B3QVX2I11,ABC ARBITRAGE,FR,969500IZ7E6B3QVX2I11,ABC ARBITRAGE,FR,,,,,969500IZ7E6B3QVX2I11,ABC ARBITRAGE,FR,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,FR,0.4711,0.2905,FR;DE;US,0.4711;0.1807;0.0903,0,,,,,,,,
SG,254900E6OE5YJ9WCCU19,ABJA INVESTMENT CO. PTE. LTD.,SG,335800E6C75YGSGD5T66,TATA STEEL LIMITED,IN,335800E6C75YGSGD5T66,TATA STEEL LIMITED,IN,,,,,335800E6C75YGSGD5T66,TATA STEEL LIMITED,IN,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,IN,0.7206,0.6427,IN;FR;KY,0.7206;0.078;0.0506,0,,,,,,,,
SG,254900TMKP3JU0LFFI47,ACADIAN ASSET MANAGEMENT (SINGAPORE) PTE LTD,SG,RQTOM0CI0L1JQEIRRN40,Acadian Asset Management LLC,US,RQTOM0CI0L1JQEIRRN40,Acadian Asset Management LLC,US,,,,,RQTOM0CI0L1JQEIRRN40,Acadian Asset Management LLC,US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,US,0.7611,0.6999,US;CN;GB,0.7611;0.0612;0.0381,0,,,,,,,,
SG,254900NPWELK2VHXCK55,ACEN Renewables International Pte. Ltd.,SG,549300ZYHD5YBZVSYZ84,AC ENERGY AND INFRASTRUCTURE CORPORATION,PH,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,ultimate_parent,254900QJ68UH8GKNGI69,AYALA CORPORATION,PH,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,ASIA_OTHER,0.4665,0.3606,ASIA_OTHER;GB;US,0.4665;0.1058;0.1023,0,,,,,,,,
